index,food_name,WWEIA Category description,WWEIA Category number,Energy (kcal),Is_vegeterian,Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)",is_breakfast,is_lunch_dinner,Cost_CAD,carbon_footprint_gCO2,water_footprint_liters,is_lunch,,Protein (g)
0,Philippine adobo,Poultry mixed dishes,3004,176.5,0,17.29,8.5,0.03,0.3,7.8,2.5295,3.538,0.9975,73.5,4,4,0,0,0,0,0,0.217,0.2085,3.324,0.233,8.5,3.5,18,12,58.15,0.435,0,0,0.35,0.205,0,0,16.5,155,19.5,1.165,2.465,0.0905,23.85,208,516,0,0,0,64.305,0,1,6,554.5,363,,,17.29
1,Antipasto with ham,Meat mixed dishes,3002,158,0,11.62,3.75,1.51,1.1,10.7,4.634,3.746,1.078,39,54,288,1032,2293,5,0,217,0.108,0.179,3.36,0.169,0,11,11,11,28.9,0.5,0,1.5,0.4,1.03,0,9.7,178,180,21,0.8,1.47,0.077,18.9,248,854,0,0,0,70.72,0,1,3,499,326,,,11.62
3,Asian chicken or turkey garden salad,Poultry mixed dishes,3004,130,0,11.44,9.5,2.99,1.9,5.46,0.946,2.767,1.055,27,2,108,24,1217,94,0,830,0.108,0.168,3.796,0.156,6,29,39,36,28.9,0.09,0,10,0,1.78,0,51.8,39,126,35,0.96,0.6,0.096,9.7,280,176,0,0,0,72.72,0,1,6,935,530,,,11.44
4,Asian chicken or turkey garden salad with crispy noodles,Poultry mixed dishes,3004,116,0,10.24,8.11,3,1.8,5.26,0.8,2.791,1.17,24,1,127,23,1456,90,0,991,0.09,0.167,3.338,0.15,4,32,38,36,27.3,0.08,0,10.5,0,1.81,0,62.4,43,115,38,0.82,0.6,0.109,8,288,167,0,0,0,75.49,0,1,6,837,474,,,10.24
5,Bacalaitos fritos,Seafood mixed dishes,3006,281,0,14.43,36.1,0.12,1.2,8.63,1.152,3.345,3.246,29,1,1,0,0,0,0,7,0.364,0.21,3.474,0.092,44,11,87,56,44.6,1.1,0,0,0.3,1.82,0,7.9,105,256,26,2.87,0.53,0.087,21.3,208,233,0,0,0,39.32,0,1,6,868,572,,,14.43
6,Bacon sandwich,Deli and cured meat sandwiches,3740,230,0,11.455,28.62,3.63,2.55,7.65,2.2925,2.7905,1.9555,15,2,31,12,355,1,541,167,0.361,0.1755,4.5305,0.1745,29,29.5,78.5,58,26.25,0.17,0,3.75,0.1,0.355,0,8.75,113.5,146.5,31.5,2.09,1.165,0.12,22.5,227.5,518,0,0,0,50.03,0,1,4,715,470,,,11.455
7,Bacon biscuit sandwich,Egg/breakfast sandwiches,3706,382,0,13.71,29.26,3.09,1.6,23.2,12.719,5.205,2.559,33,65,66,0,15,1,0,4,0.377,0.305,4.014,0.134,35,23,82,58,18,0.45,0,0,0.8,0.51,0,3.5,224,482,20,2.03,1.39,0.075,19.9,190,1090,0,0,0,29.81,1,0,4,1553,965,,,13.71
8,Bacon strip,Soy and meat-alternative products,2806,309,1,11.69,5.31,0,2.6,29.52,4.622,7.095,15.441,0,0,4,0,53,0,0,0,4.4,0.481,7.56,0.479,0,42,42,42,45,0,0,0,0,6.9,0,0,23,70,19,2.41,0.42,0.105,7.4,170,1465,0,0,0,48.98,0,1,9.15,952,628,,,11.69
9,Bagel,Bagels and English muffins,4206,253.7857143,1,9.956428571,50.32928571,8.687857143,3.614285714,1.532857143,0.084071429,0.312285714,0.886928571,0,0,0,0,1.714285714,0,0,67.07142857,0.421571429,0.231428571,3.481071429,0.132285714,51.07142857,28.42857143,114.5714286,79,10.8,0,0,0.085714286,0,0.315,0,1.414285714,95.42857143,131.1428571,46,2.865,1.014285714,0.168428571,26.02857143,170.8571429,417.1428571,0,0,0,36.34857143,1,0,2,1040.142857,644.4642858,,,9.956428571
10,Bao bun,"Egg rolls, dumplings, sushi",3406,270.5,0,8.95,47.025,14.07,2.3,5.26,1.636,2.0775,0.904,11.5,0,0,0,0,0,0,6,0.402,0.192,2.9165,0.1045,34,22,79.5,56,22.45,0.085,0,0.25,0.15,0.185,0,2.45,123.5,135,21.5,2.745,0.74,0.0995,9.9,168,311,0,0,0,36.725,0,1,4,836.5,551,,,8.95
